case_id,candidate_id,interval,station_zero_based,offset_working_px,x,y,available,passing,recorded_minimum_contrast,direct_bilinear_minimum_contrast,installed_cv2_minimum_contrast
am2_window_01_frame_28019,184:4123,11,13,-4,910.2265784506047,205.58681013530347,True,True,86.28228759765625,86.28228847682476,86.4775390625
am2_window_01_frame_28019,184:4123,11,13,-2,910.0594510041253,207.57981500650504,True,True,26.036224365234375,26.03621376492083,26.08203125
am2_window_01_frame_28019,184:4123,11,13,0,909.8923235576459,209.57281987770665,True,True,10.906204223632812,10.906191056594253,11.783203125
am2_window_01_frame_28019,184:4123,11,13,2,909.7251961111665,211.56582474890826,True,False,-136.29257202148438,-136.29258171096444,-136.61328125
am2_window_01_frame_28019,184:4123,11,13,4,909.5580686646871,213.55882962010983,True,False,-70.93247985839844,-70.93246627412736,-70.556640625
am2_window_01_frame_28019,184:4123,11,14,-4,915.1373447483992,205.99861235589344,True,True,54.586883544921875,54.58688744530082,55.2734375
am2_window_01_frame_28019,184:4123,11,14,-2,914.9702173019198,207.99161722709502,True,True,33.72886657714844,33.72885701619089,33.84375
am2_window_01_frame_28019,184:4123,11,14,0,914.8030898554404,209.98462209829663,True,True,13.110977172851562,13.11097303032875,12.9375
am2_window_01_frame_28019,184:4123,11,14,2,914.635962408961,211.97762696949823,True,False,-57.134971618652344,-57.134973127394915,-56.9296875
am2_window_01_frame_28019,184:4123,11,14,4,914.4688349624815,213.9706318406998,True,False,-52.29405212402344,-52.29404932260513,-52.4375
am2_window_01_frame_28019,184:4123,11,15,-4,920.0481177783984,206.410415141026,True,False,3.9842987060546875,3.9842993281781673,3.642578125
am2_window_01_frame_28019,184:4123,11,15,-2,919.880990331919,208.40342001222757,True,True,46.62505340576172,46.62505197804421,46.59375
am2_window_01_frame_28019,184:4123,11,15,0,919.7138628854395,210.39642488342918,True,True,33.80400848388672,33.80401348415762,33.8271484375
am2_window_01_frame_28019,184:4123,11,15,2,919.5467354389601,212.38942975463078,True,False,-3.9842987060546875,-3.9842993281781673,-3.642578125
am2_window_01_frame_28019,184:4123,11,15,4,919.3796079924807,214.38243462583236,True,False,-46.62505340576172,-46.62505197804421,-46.59375
am2_window_01_frame_28019,184:4123,11,16,-4,924.9588840761928,206.82221736161597,True,True,56.70026397705078,56.70026264898479,56.408203125
am2_window_01_frame_28019,184:4123,11,16,-2,924.7917566297134,208.81522223281755,True,True,63.0462646484375,63.04626685939729,63.0908203125
am2_window_01_frame_28019,184:4123,11,16,0,924.624629183234,210.80822710401915,True,True,20.034271240234375,20.0342802060768,19.75390625
am2_window_01_frame_28019,184:4123,11,16,2,924.4575017367546,212.80123197522076,True,False,-56.70026397705078,-56.70026264898479,-56.408203125
am2_window_01_frame_28019,184:4123,11,16,4,924.2903742902752,214.79423684642234,True,False,-67.44892120361328,-67.44892353750765,-67.36328125
am2_window_01_frame_28019,184:4123,11,17,-4,929.8696503739873,207.23401958220592,True,True,20.577438354492188,20.577439496293664,20.27734375
am2_window_01_frame_28019,184:4123,11,17,-2,929.7025229275079,209.2270244534075,True,True,30.747161865234375,30.747154966928065,31.220703125
am2_window_01_frame_28019,184:4123,11,17,0,929.5353954810284,211.2200293246091,True,True,29.286231994628906,29.286229358054698,29.234375
am2_window_01_frame_28019,184:4123,11,17,2,929.368268034549,213.2130341958107,True,False,-20.577438354492188,-20.577439496293664,-20.27734375
am2_window_01_frame_28019,184:4123,11,17,4,929.2011405880696,215.20603906701228,True,False,-30.747161865234375,-30.747154966928065,-31.220703125
am2_window_01_frame_28019,184:4123,11,18,-4,934.7804166717817,207.64582180279587,True,True,68.13246154785156,68.13245741277933,68.322265625
am2_window_01_frame_28019,184:4123,11,18,-2,934.6132892253023,209.63882667399744,True,True,38.22035217285156,38.220348769798875,38.390625
am2_window_01_frame_28019,184:4123,11,18,0,934.4461617788229,211.63183154519905,True,True,16.156166076660156,16.156164680607617,16.095703125
am2_window_01_frame_28019,184:4123,11,18,2,934.2790343323435,213.62483641640065,True,False,-68.13246154785156,-68.13245741277933,-68.322265625
am2_window_01_frame_28019,184:4123,11,18,4,934.1119068858641,215.61784128760223,True,False,-38.22035217285156,-38.220348769798875,-38.390625
am2_window_01_frame_28019,184:4123,11,19,-4,939.6911829695763,208.05762402338584,True,True,41.975860595703125,41.975864516571164,41.220703125
am2_window_01_frame_28019,184:4123,11,19,-2,939.5240555230969,210.05062889458742,True,True,40.64305114746094,40.64305090717971,40.443359375
am2_window_01_frame_28019,184:4123,11,19,0,939.3569280766175,212.04363376578902,True,True,84.84971618652344,84.8497200421989,82.0595703125
am2_window_01_frame_28019,184:4123,11,19,2,939.189800630138,214.03663863699063,True,False,-41.975860595703125,-41.975864516571164,-41.220703125
am2_window_01_frame_28019,184:4123,11,19,4,939.0226731836586,216.0296435081922,True,False,-40.64305114746094,-40.64305090717971,-40.443359375
am2_window_01_frame_28019,184:4123,11,20,-4,944.6019492673707,208.4694262439758,True,True,97.03346252441406,97.03345600515604,96.6337890625
am2_window_01_frame_28019,184:4123,11,20,-2,944.4348218208913,210.46243111517737,True,False,3.2616653442382812,3.2616629265248775,3.9609375
am2_window_01_frame_28019,184:4123,11,20,0,944.2676943744119,212.45543598637897,True,False,5.4104766845703125,5.410482053644955,5.1474609375
am2_window_01_frame_28019,184:4123,11,20,2,944.1005669279325,214.44844085758058,True,False,-97.03346252441406,-97.03345600515604,-96.6337890625
am2_window_01_frame_28019,184:4123,11,20,4,943.9334394814531,216.44144572878216,True,False,-59.21916198730469,-59.21916347742081,-59.015625
am2_window_01_frame_28019,184:4123,11,21,-4,949.5127222973699,208.88122902910834,True,True,60.03550720214844,60.035512052476406,59.5625
am2_window_01_frame_28019,184:4123,11,21,-2,949.3455948508905,210.87423390030992,True,False,-22.369728088378906,-22.369730096310377,-22.45703125
am2_window_01_frame_28019,184:4123,11,21,0,949.1784674044111,212.86723877151152,True,False,-99.76263427734375,-99.76264215260744,-99.677734375
am2_window_01_frame_28019,184:4123,11,21,2,949.0113399579317,214.86024364271313,True,False,-68.65840911865234,-68.65841548889875,-68.125
am2_window_01_frame_28019,184:4123,11,21,4,948.8442125114523,216.8532485139147,True,False,-70.07958984375,-70.07958848774433,-69.421875
am2_window_01_frame_28019,184:4123,11,22,-4,954.4234885951644,209.29303124969832,True,True,47.29689025878906,47.296900011599064,47.658203125
am2_window_01_frame_28019,184:4123,11,22,-2,954.256361148685,211.2860361208999,True,False,-30.70171356201172,-30.701714292168617,-30.8515625
am2_window_01_frame_28019,184:4123,11,22,0,954.0892337022055,213.2790409921015,True,False,-27.257431030273438,-27.257436607964337,-28.1123046875
am2_window_01_frame_28019,184:4123,11,22,2,953.9221062557261,215.2720458633031,True,False,-47.29689025878906,-47.296900011599064,-47.658203125
am2_window_01_frame_28019,184:4123,11,22,4,953.7549788092467,217.26505073450468,True,False,-89.00511932373047,-89.00511830486357,-88.1875
am2_window_01_frame_28019,184:4123,11,23,-4,959.3342548929588,209.70483347028826,True,True,19.092056274414062,19.092059917747974,18.8671875
am2_window_01_frame_28019,184:4123,11,23,-2,959.1671274464794,211.69783834148984,True,False,-107.91966247558594,-107.91966500878334,-108.0859375
am2_window_01_frame_28019,184:4123,11,23,0,959.0,213.69084321269145,True,False,-61.707275390625,-61.70727793127298,-61.9375
am2_window_01_frame_28019,184:4123,11,23,2,958.8328725535206,215.68384808389305,True,False,-19.092056274414062,-19.092059917747974,-18.8671875
am2_window_01_frame_28019,184:4123,11,23,4,958.6657451070412,217.67685295509463,True,False,0.0344390869140625,0.034447891637682915,-0.216796875
am2_window_00_frame_150,30:33,6,0,-4,529.8121391904627,207.94436516814295,True,False,-35.28321838378906,-35.28321838378906,-35.375
am2_window_00_frame_150,30:33,6,0,-2,529.713689569768,209.94194061657666,True,False,1.250335693359375,1.25034702103585,1.26171875
