case_id,label,arm,pair_id,groups,direction_fit_px,axis,coordinates,enumerated,supported,supported_and_players,distinct,kept,cap_threshold_score,nearest_kept_by_kept_px,nearest_distinct_by_distinct_px,best_enumerated_px,best_supported_px,best_supported_and_players_px,best_distinct_px,best_kept_px,best_enumerated_rank,best_supported_rank,best_supported_and_players_rank,best_distinct_rank,best_kept_rank
am3_window_00_frame_0,Am3-0,person,42,2 13,4.1533,vertical,6,14880,11804,3042,1898,512,0.5457,35.5327,5.295,4.5952,4.5952,4.5952,5.0681,5.0681,-1,-1,-1,370,370
am3_window_00_frame_0,Am3-0,paint,16,1 2,9.0149,horizontal,5,560,160,160,98,98,0.2911,11.1136,11.1136,9.0134,9.0134,9.0134,9.3046,9.3046,-1,-1,-1,65,65
am3_window_00_frame_0,Am3-0,paint,16,1 2,9.0149,vertical,6,3150,1622,456,274,274,0.3314,11.1136,11.1136,9.506,9.506,9.506,9.506,9.506,35,35,35,35,35
am3_window_00_frame_0,Am3-0,paint_person,24,1 10,4.6579,horizontal,5,720,166,166,92,92,0.393,8.818,8.818,7.2407,7.2407,7.2407,9.6797,9.6797,-1,-1,-1,1,1
am3_window_00_frame_0,Am3-0,paint_person,24,1 10,4.6579,vertical,6,3150,1900,462,288,288,0.3264,8.818,8.818,4.59,4.59,4.59,4.838,4.838,-1,-1,-1,28,28
am3_window_00_frame_0,Am3-0,paint_observations,43,2 14,3.7492,horizontal,5,560,138,138,66,66,0.3988,6.1925,6.1925,5.0763,5.0763,5.0763,6.2763,6.2763,-1,-1,-1,1,1
am3_window_00_frame_0,Am3-0,paint_observations,43,2 14,3.7492,vertical,6,3150,1894,458,290,290,0.3196,6.1925,6.1925,3.4314,3.4314,3.4314,3.9241,3.9241,-1,-1,-1,8,8
am3_window_00_frame_0,Am3-0,person_observations,43,2 14,3.7492,horizontal,5,66420,56352,47470,23758,512,0.8844,4.2708,4.2708,5.0763,5.0763,5.0763,5.2329,5.3944,-1,-1,-1,6584,367
am3_window_00_frame_0,Am3-0,person_observations,43,2 14,3.7492,vertical,6,14880,11922,3044,1930,512,0.5406,4.2708,4.2708,3.4314,3.4314,3.4314,3.9241,3.9241,-1,-1,-1,14,14
shuttleset_03_scene_0017,SS03-17,baseline,1,0 2,1.9829,horizontal,5,6000,1974,1890,1064,512,0.4912,3.5114,3.5114,3.3724,3.3724,3.3724,3.3724,3.3724,506,506,506,506,506
shuttleset_03_scene_0017,SS03-17,baseline,1,0 2,1.9829,vertical,6,60480,47928,20046,10254,512,0.6889,3.5114,3.5114,2.2207,2.2207,2.2207,2.2207,3.0026,684,684,684,684,214
shuttleset_03_scene_0017,SS03-17,person,1,0 2,1.9829,horizontal,5,6000,1974,1890,1064,512,0.4912,3.5114,3.5114,3.3724,3.3724,3.3724,3.3724,3.3724,506,506,506,506,506
shuttleset_03_scene_0017,SS03-17,person,1,0 2,1.9829,vertical,6,56730,44546,18098,9484,512,0.683,3.5114,3.5114,2.2422,2.2422,2.2422,3.0026,3.0026,-1,-1,-1,78,78
shuttleset_03_scene_0017,SS03-17,paint,1,0 2,2.1159,horizontal,5,1560,348,348,192,192,0.3996,3.0547,3.0547,2.3053,2.3053,2.3053,2.3087,2.3087,-1,-1,-1,8,8
shuttleset_03_scene_0017,SS03-17,paint,1,0 2,2.1159,vertical,6,41340,30944,11366,5886,512,0.6169,3.0547,3.0547,2.134,2.134,2.134,3.0356,3.0356,-1,-1,-1,27,27
shuttleset_03_scene_0017,SS03-17,paint_person,1,0 2,2.0581,horizontal,5,1820,396,396,234,234,0.3714,2.2513,2.2513,2.2503,2.2503,2.2503,2.2503,2.2503,129,129,129,129,129
shuttleset_03_scene_0017,SS03-17,paint_person,1,0 2,2.0581,vertical,6,38250,28438,9458,4820,512,0.6047,2.2513,2.2513,2.0592,2.0592,2.0592,2.0592,2.0592,24,24,24,24,24
shuttleset_03_scene_0017,SS03-17,paint_observations,1,0 2,1.9829,horizontal,5,1820,478,476,272,272,0.3461,3.5114,3.5114,3.3724,3.3724,3.3724,3.3724,3.3724,134,134,134,134,134
shuttleset_03_scene_0017,SS03-17,paint_observations,1,0 2,1.9829,vertical,6,38250,28744,10170,5376,512,0.6059,3.5114,3.5114,2.2207,2.2207,2.2207,2.2207,2.2207,146,146,146,146,146
shuttleset_03_scene_0017,SS03-17,person_observations,1,0 2,1.9829,horizontal,5,6000,1974,1890,1064,512,0.4912,3.5114,3.5114,3.3724,3.3724,3.3724,3.3724,3.3724,506,506,506,506,506
shuttleset_03_scene_0017,SS03-17,person_observations,1,0 2,1.9829,vertical,6,56730,44546,18098,9484,512,0.683,3.5114,3.5114,2.2422,2.2422,2.2422,3.0026,3.0026,-1,-1,-1,172,172
shuttleset_03_scene_0019,SS03-19,baseline,1,0 2,2.2689,horizontal,5,4620,1380,1336,758,512,0.4478,3.134,3.134,2.747,2.747,2.747,3.1899,3.1899,-1,-1,-1,7,7
shuttleset_03_scene_0019,SS03-19,baseline,1,0 2,2.2689,vertical,6,76680,61346,22518,9469,512,0.7124,3.134,3.134,2.8538,2.8538,2.8538,2.8774,2.8774,-1,-1,-1,325,325
shuttleset_03_scene_0019,SS03-19,person,137,9 2,4.5466,horizontal,5,4200,1044,1004,564,512,0.4114,7.9066,5.0631,4.6912,4.6912,4.6912,5.4023,5.4023,-1,-1,-1,0,0
shuttleset_03_scene_0019,SS03-19,person,137,9 2,4.5466,vertical,6,19980,13204,6908,3396,512,0.5098,7.9066,5.0631,4.6024,4.6024,4.6024,4.6024,8.4869,2447,2447,2447,2447,486
shuttleset_03_scene_0019,SS03-19,paint,2,0 3,3.6861,horizontal,5,1560,252,248,136,136,0.4081,4.4751,4.4751,3.6241,3.6241,3.6241,4.4841,4.4841,-1,-1,-1,3,3
shuttleset_03_scene_0019,SS03-19,paint,2,0 3,3.6861,vertical,6,19980,13639,7542,3586,512,0.5742,4.4751,4.4751,3.6768,3.6768,3.6768,3.6768,3.6768,-1,-1,-1,37,37
shuttleset_03_scene_0019,SS03-19,paint_person,1,0 2,3.2381,horizontal,5,1560,286,282,154,154,0.4022,6.3335,3.7441,3.6336,3.6336,3.6336,3.7765,3.7765,-1,-1,-1,5,5
