case_id,arm,pair_id,pencils,combined_count,valid_count,usable_count,gate2_usable_corners_equal,nearest_combined_px,nearest_combined_index,nearest_combined_valid,nearest_combined_usable,nearest_combined_player_any,nearest_combined_player_both_halves,nearest_valid_px,nearest_valid_index,nearest_valid_usable,nearest_valid_player_any,nearest_valid_player_both_halves,nearest_usable_px,nearest_usable_index,nearest_usable_post_gate_index,combined_within_5px,valid_within_5px,usable_within_5px,combined_within_20px,valid_within_20px,usable_within_20px
gxBQ_window_00_frame_0,M,162,10 13,0,0,0,True,,,,,,,,,,,,,,,,,,,,
gxBQ_window_00_frame_0,M,163,10 14,0,0,0,True,,,,,,,,,,,,,,,,,,,,
gxBQ_window_00_frame_0,M,164,10 15,0,0,0,True,,,,,,,,,,,,,,,,,,,,
gxBQ_window_00_frame_0,M,166,11 1,262144,94772,44550,True,269.8985934432065,170328,True,True,1.0,1.0,269.8985934432065,170328,True,1.0,1.0,269.8985934432065,170328,26783,0,0,0,0,0,0
gxBQ_window_00_frame_0,M,168,11 3,262144,99114,85666,True,159.92257844649757,128479,True,True,1.0,1.0,159.92257844649757,128479,True,1.0,1.0,159.92257844649757,128479,41307,0,0,0,0,0,0
gxBQ_window_00_frame_0,M,169,11 4,38912,16780,15196,True,179.909299414653,18256,True,True,1.0,1.0,179.909299414653,18256,True,1.0,1.0,179.909299414653,18256,7235,0,0,0,0,0,0
gxBQ_window_00_frame_0,M,171,11 6,262144,10904,10748,True,2069.196448175542,246434,False,False,1.0,1.0,3221.301559868933,237665,True,1.0,0.8666666746139526,3221.301559868933,237665,8236,0,0,0,0,0,0
gxBQ_window_00_frame_0,M,173,11 8,230400,78140,58494,True,217.52624350494318,62467,True,True,1.0,1.0,217.52624350494318,62467,True,1.0,1.0,217.52624350494318,62467,16133,0,0,0,0,0,0
gxBQ_window_00_frame_0,M,174,11 9,262144,99122,83634,True,157.1598118427505,140423,True,True,1.0,1.0,157.1598118427505,140423,True,1.0,1.0,157.1598118427505,140423,42060,0,0,0,0,0,0
gxBQ_window_00_frame_0,M,175,11 10,0,0,0,True,,,,,,,,,,,,,,,,,,,,
gxBQ_window_00_frame_0,M,181,12 1,262144,84784,40216,True,272.49661266556785,180584,True,True,1.0,1.0,272.49661266556785,180584,True,1.0,1.0,272.49661266556785,180584,26919,0,0,0,0,0,0
gxBQ_window_00_frame_0,M,183,12 3,262144,78236,69232,True,167.26467484327625,197421,True,True,1.0,1.0,167.26467484327625,197421,True,1.0,1.0,167.26467484327625,197421,47614,0,0,0,0,0,0
gxBQ_window_00_frame_0,M,184,12 4,38912,17408,16102,True,171.80854960760283,13714,True,True,1.0,1.0,171.80854960760283,13714,True,1.0,1.0,171.80854960760283,13714,5627,0,0,0,0,0,0
